Скъперникът,"Малък Градски Театър ""Зад Канала"":София",2018-02-01 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
Балкански синдром,"Малък Градски Театър ""Зад Канала"":София",2018-02-02 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
Шведска защита,"Малък Градски Театър ""Зад Канала"":София",2018-02-03 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
Ритъм енд блус 1,"Малък Градски Театър ""Зад Канала"":София",2018-02-04 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
Болница накрай света,"Малък Градски Театър ""Зад Канала"":София",2018-02-06 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
Недоразбраната цивилизация,"Малък Градски Театър ""Зад Канала"":София",2018-02-07 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
Пияните,"Малък Градски Театър ""Зад Канала"":София",2018-02-08 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
Апартаментът,"Малък Градски Театър ""Зад Канала"":София",2018-02-09 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
Бел Ами,"Малък Градски Театър ""Зад Канала"":София",2018-02-10 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
Лодка в гората,"Малък Градски Театър ""Зад Канала"":София",2018-02-11 19:00,http://www.eventim.bg/bg/bileti/malk-gradski-teatr-zad-kanala-sofi-malk-gradski-teatr-zad-kanala-227/events.html,http://bg.content.eventim.com/static/uploaded/bg/50yy_300_300.jpg
